TSNE1,TSNE2,year,month,T (degC)
47.55916,33.746048,2016,5,23.24
-5.707479,50.905308,2016,9,4.93
-17.052217,54.55536,2014,9,12.49
-40.050625,18.870838,2016,6,2.34
1.4704765,10.271778,2009,1,15.85
1.1559579,-70.73572,2015,12,11.47
-65.41006,19.743757,2009,5,-3.23
53.545525,19.06398,2013,10,22.26
-16.590128,-68.19553,2014,8,3.42
51.705303,27.27714,2009,7,22.47
12.096614,3.2344196,2009,4,14.83
15.59305,-27.563683,2014,5,7.38
-10.421468,-27.414557,2011,4,4.12
67.27265,6.6610947,2013,9,20.7
61.343422,13.984762,2011,5,21.26
-28.633078,-27.86657,2010,8,-2.17
-16.83019,-45.937393,2013,9,7.94
49.68813,46.485817,2013,7,25.52
-13.053067,24.289654,2014,7,10.66
-6.3577695,22.050205,2010,4,5.68
24.63431,-36.908764,2016,11,12.94
-70.500824,3.7694328,2010,7,-4.19
-2.7962332,40.71459,2011,4,4.66
56.65466,-14.333634,2011,2,17.72
35.03518,-53.028778,2010,7,14.03
27.734676,18.743734,2009,8,18.58
11.611368,29.079819,2014,12,14.03
15.571897,28.513891,2014,7,14.97
21.714901,16.48014,2015,11,15.96
-78.96139,16.554691,2012,11,-11.5
27.765167,7.5571465,2009,9,15.54
60.71241,44.947357,2014,5,27.52
-77.52578,21.08255,2010,8,-12.31
41.994465,3.951132,2016,11,15.75
64.108604,-28.978456,2014,6,17.12
53.45665,-2.180539,2014,6,18.02
34.134525,-51.435207,2011,8,11.3
43.808846,4.5506706,2015,12,20.08
35.830368,26.58091,2010,6,20.15
-36.673717,-50.104385,2009,2,0.5
-16.059175,1.4056039,2012,4,5.65
52.990097,19.595104,2012,10,23.8
19.529732,-19.719658,2014,1,10.99
-29.332048,23.825182,2014,11,5.86
17.498537,50.499954,2015,9,15.8
13.210833,41.705723,2010,3,20.19
-71.46339,3.2272928,2010,9,-5.62
-32.89353,31.421934,2014,7,6.85
-4.9217157,-32.314392,2013,4,11.68
-26.27317,-9.507288,2009,10,7.7
-11.263219,35.163067,2009,4,8.35
-38.119637,-3.4342928,2009,5,-1.7
40.464325,-38.447075,2016,12,15.1
-35.70549,-64.3123,2013,1,3.48
65.407715,47.192646,2015,7,32.0
-60.64796,3.220753,2013,8,-0.83
75.28554,-14.990174,2014,11,20.64
53.33109,26.1331,2012,6,22.33
-63.19399,2.757367,2013,10,-2.93
23.639158,-19.277393,2016,3,10.38
24.866213,-45.337364,2013,11,10.37
32.043087,-6.930969,2013,8,12.96
-15.630099,17.475037,2015,10,4.05
18.653877,-28.111895,2015,6,7.94
69.291794,-8.166583,2014,8,16.94
2.7261813,-69.062645,2016,10,6.94
-19.64194,16.507734,2012,12,9.6
11.068576,10.300272,2009,3,12.19
-32.823715,23.465446,2014,11,5.16
58.6662,-5.43587,2014,6,20.81
-5.398632,-49.58208,2009,12,5.05
11.812503,7.036663,2009,3,13.89
-4.330562,4.2246213,2013,5,12.37
-35.25664,-16.509396,2012,6,7.35
28.962687,-54.202854,2009,9,11.92
-3.6509554,-21.139551,2009,2,7.03
14.924223,-40.186295,2012,7,8.92
49.768642,-7.123663,2015,3,14.67
-18.903055,55.797604,2016,9,8.69
-57.258884,14.711072,2013,3,-0.74
-49.623894,-3.0099487,2014,6,2.57
24.101152,41.045715,2016,11,19.17
19.593786,37.649605,2016,11,16.36
5.6937227,53.673626,2014,7,14.89
10.220563,-18.43202,2009,6,9.64
-3.9380803,-56.810413,2011,9,5.8
-45.403934,21.8396,2015,3,0.18
-40.129772,37.96005,2016,2,6.31
-30.305891,-65.95022,2016,1,5.51
15.004338,18.616798,2009,12,9.48
15.810639,-4.762496,2013,1,15.57
1.5757705,-32.539207,2011,4,9.56
-52.917255,9.34909,2016,7,2.0
15.918755,-9.592186,2011,1,12.79
31.748589,-7.0318346,2013,7,13.55
-66.96339,24.05332,2011,4,-5.57
-22.83452,28.287767,2011,12,3.86
66.72944,0.96497536,2009,2,20.57
-46.77719,46.63647,2015,1,2.35
-35.360023,22.539965,2016,10,2.34
-33.14526,-74.5476,2013,2,7.29
45.566303,-32.26058,2014,5,12.92
-14.939136,45.001564,2011,9,8.43
-13.183681,-56.3676,2010,11,-0.57
-2.0606058,-12.114285,2012,1,9.71
28.236044,4.62319,2011,7,14.17
29.559732,-39.173214,2013,11,14.16
53.51232,27.55042,2011,5,24.69
-5.436421,43.140255,2011,1,12.6
-24.537252,44.798965,2014,6,3.06
-8.311219,32.175327,2010,7,9.57
57.99802,-21.521706,2010,6,16.94
-7.75109,-48.532665,2011,12,2.86
-38.832256,39.811005,2014,3,6.57
36.398247,31.753483,2010,12,22.83
57.74198,16.451834,2013,3,21.29
42.41112,-9.67411,2011,11,16.21
49.72345,0.8943887,2012,8,15.79
11.212892,-35.23077,2009,6,10.72
-48.762703,-7.3375387,2015,7,3.5
56.67733,-21.906721,2011,4,15.83
32.658302,13.894506,2012,8,17.09
-47.07797,41.401176,2013,3,2.54
-52.95348,-10.099263,2015,10,-0.87
-25.357162,-13.247983,2011,11,9.72
42.755848,-26.572205,2016,4,16.48
-17.641459,-29.424183,2011,6,2.46
3.115035,0.4973698,2015,8,10.86
1.8730445,-17.324928,2010,1,9.63
35.503857,29.595028,2012,10,23.25
21.169353,15.010294,2015,10,14.23
1.1022424,7.919983,2012,2,14.88
8.571514,-51.393517,2014,10,8.16
-26.73528,15.351398,2015,12,4.4
50.3462,-4.571427,2016,5,16.55
56.53158,49.631977,2015,3,28.72
2.1729522,25.096945,2009,9,10.28
63.2513,-27.701553,2012,6,17.59
-45.85405,19.726803,2014,2,1.55
-14.148585,-64.893616,2013,7,0.79
28.240578,19.319456,2011,8,17.13
35.13046,-48.409107,2009,10,17.28
-38.80859,40.56472,2014,2,4.4
-2.0110059,-50.645264,2009,11,6.21
28.597847,12.658262,2009,4,20.03
-37.58821,-13.270574,2013,8,4.59
-29.315592,-8.5048685,2009,7,6.79
-38.738834,11.561195,2013,10,1.55
14.32453,-43.000614,2014,6,7.53
46.445625,5.3985386,2012,9,17.17
35.73105,-45.87427,2010,12,13.14
-21.050343,-15.29466,2015,9,7.36
6.1099315,-62.775433,2015,12,5.94
-4.5323105,4.6386313,2013,4,11.71
-21.146227,-28.90931,2010,6,3.99
62.63994,-26.391365,2011,5,17.81
20.239914,-10.5878935,2012,3,14.49
-10.894373,-67.98406,2014,9,2.7
-13.502088,43.727818,2012,7,7.95
17.322222,-26.36957,2014,4,8.2
-21.931376,26.479681,2011,10,6.04
58.61075,-31.072973,2011,7,14.38
-44.07869,0.18345639,2011,6,2.52
-62.980442,-1.7870529,2011,9,-2.19
43.04669,-27.421339,2016,5,15.92
-42.54462,38.19619,2014,2,3.03
-34.03614,-61.52045,2016,3,2.18
33.170856,20.320524,2013,7,20.44
50.40255,7.4940786,2009,11,17.78
-6.4828606,-62.742996,2015,12,6.02
-24.972336,31.366898,2009,9,4.82
-43.868935,31.150826,2016,3,-0.23
-44.66597,19.905165,2016,3,1.59
-47.55429,2.3865967,2015,1,2.22
-22.78167,16.471653,2012,10,2.71
-26.802551,-40.763508,2010,12,-0.48
22.362585,-35.365067,2015,10,9.46
29.452236,8.07496,2011,6,15.19
63.68283,-28.085358,2012,7,18.11
-12.54083,51.156918,2014,12,11.21
27.626703,-31.779964,2016,10,11.9
15.538956,28.671312,2014,8,15.96
22.421791,1.188937,2009,10,15.48
43.98343,-34.880283,2014,7,15.4
55.959667,41.242878,2010,3,28.41
-22.897049,-54.72889,2012,8,-4.7
-35.69416,30.217768,2012,6,3.72
-8.408233,-59.953354,2012,10,4.67
-12.459723,18.0808,2014,8,7.72
-25.417578,4.3522997,2011,8,7.1
15.02559,11.665236,2013,7,15.4
8.526644,20.261494,2009,12,12.61
-9.70204,30.084394,2011,7,4.88
0.46496156,50.352375,2011,1,16.21
-5.134815,35.675358,2010,6,13.74
-71.36723,29.517683,2011,1,-9.52
73.53796,-5.1797543,2015,12,18.64
-53.14428,24.025373,2011,1,3.91
45.03912,23.148184,2016,4,21.98
-31.677347,36.497356,2012,2,9.07
22.846111,53.706142,2016,11,20.67
39.03023,-47.115383,2011,12,17.24
-41.515064,-53.019722,2014,2,-2.35
63.205173,-19.190432,2009,7,18.65
-70.85355,28.356768,2011,1,-8.23
59.50962,21.147692,2011,4,21.45
8.586374,-53.449707,2012,12,9.47
26.35648,-44.76203,2012,12,13.07
26.16068,10.523811,2009,7,14.83
-58.396446,21.541195,2009,2,1.48
-47.327164,52.16886,2015,5,4.56
37.538174,1.7500995,2010,5,15.62
31.484188,-18.625515,2013,8,13.65
68.61839,-10.194159,2011,8,15.55
35.206303,-56.058826,2009,6,14.68
-0.3658003,-10.766622,2011,1,12.12
4.6198497,53.64549,2014,8,13.07
18.318903,-53.65937,2011,12,8.04
58.750656,-5.8092585,2013,5,22.53
-7.901384,-46.665203,2011,9,5.26
23.706696,-49.927135,2009,11,10.37
-34.577213,-60.896187,2016,4,1.64
-29.808323,-67.271095,2016,3,7.23
-0.45206195,9.777652,2010,4,15.74
11.417898,-5.5067515,2011,1,11.77
59.420017,-28.224619,2011,6,14.75
40.527008,54.030735,2013,7,23.72
-12.452639,42.815456,2011,5,12.01
55.318295,50.065323,2015,5,27.78
-77.72363,2.553339,2010,10,-6.36
65.52522,43.319244,2016,12,28.75
-39.841038,27.382008,2013,5,0.53
-49.35294,1.4459726,2013,2,0.38
48.680916,-11.206594,2016,3,16.32
-56.372665,41.993496,2010,2,3.92
30.652546,10.28819,2010,4,15.48
-48.365654,52.670803,2015,7,7.12
-20.824312,7.8557587,2013,7,5.2
39.251102,-26.535976,2016,7,18.35
53.45979,10.935625,2012,11,22.44
-44.34602,42.36592,2015,2,1.73
53.942066,41.475464,2009,1,28.89
49.41233,35.36824,2016,7,24.38
54.833725,52.680016,2014,3,25.95
-9.537785,-53.96259,2010,12,0.82
-38.36249,19.843288,2016,7,3.26
-30.734638,-70.3065,2015,5,5.81
-83.18157,15.050635,2012,10,-10.31
55.28848,-19.649328,2012,3,18.27
49.780815,-2.02863,2013,4,15.3
-9.50086,-25.961975,2013,5,6.3
15.700145,-45.48114,2013,9,9.96
-23.331457,-40.709366,2011,9,0.9
22.882122,32.80558,2014,12,17.25
-50.28135,28.881376,2010,3,1.22
47.619946,42.592266,2009,5,22.4
-17.098597,-54.395733,2012,11,-2.83
-17.867222,-54.375473,2011,11,-0.74
-27.998241,-41.715214,2010,12,-4.73
22.875656,-40.820145,2012,8,14.43
-46.02137,24.125856,2012,4,7.18
-11.618561,-24.059797,2009,5,5.74
-36.540455,11.276246,2016,12,-1.21
-51.082287,-11.325317,2014,10,0.39
49.548244,25.746346,2011,7,20.52
37.806797,-12.808678,2014,11,13.0
14.429799,-1.6342766,2012,4,14.57
54.519012,33.628418,2016,2,21.33
28.90163,35.96897,2015,12,25.16
15.326883,49.6158,2015,9,13.35
-53.39417,33.205257,2011,2,3.42
-77.9381,8.429704,2010,6,-4.49
-21.577444,18.883293,2015,11,4.16
59.489525,-21.180565,2009,5,15.08
50.800262,-14.346801,2012,4,14.74
15.228265,49.437798,2015,8,12.96
18.638458,-18.93942,2012,1,13.47
7.659354,-27.159903,2016,7,10.02
47.259842,15.490176,2011,1,16.4
-26.584055,19.702377,2012,8,5.75
-16.578394,-27.567484,2012,6,3.54
54.207207,-18.066961,2014,2,17.24
-13.164125,-32.247433,2009,4,3.21
66.02142,47.11027,2015,8,28.76
15.756288,-23.113222,2012,3,12.26
29.257015,-29.648745,2016,8,14.81
58.238586,3.6770763,2011,2,18.82
-19.213425,-11.467855,2014,11,9.0
-26.129545,34.28483,2009,10,0.56
15.789424,30.905485,2011,9,15.72
